Timestamp, COUNTER, INTERPOLATED, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1649066937.8601, 51, 0, 4133.846, 4129.103, 4133.077, 4136.667, 4135.385, 4129.872, 4129.872, 4134.744, 4136.41, 4137.179, 4186.923, 4899.872, 4136.795, 4139.359, 0, 0, []
1649066937.868, 52, 0, 4134.103, 4132.564, 4131.41, 4135.897, 4133.59, 4129.231, 4130.897, 4134.872, 4136.538, 4140.513, 4186.41, 4901.667, 4135.513, 4139.231, 0, 0, []
1649066937.8759, 53, 0, 4131.41, 4132.436, 4133.205, 4136.282, 4135.513, 4131.795, 4127.821, 4136.282, 4137.692, 4139.359, 4185.897, 4903.077, 4135.128, 4137.821, 0, 0, []
1649066937.8839, 54, 0, 4132.179, 4130.128, 4132.692, 4136.538, 4135, 4133.718, 4128.59, 4136.538, 4137.308, 4138.462, 4186.154, 4900.128, 4139.615, 4138.077, 0, 0, []
1649066937.8918, 55, 0, 4131.154, 4129.103, 4134.487, 4135.256, 4133.077, 4131.154, 4133.974, 4136.026, 4136.026, 4142.692, 4186.154, 4897.692, 4135, 4137.051, 0, 0, []
1649066937.8998, 56, 0, 4128.974, 4132.949, 4136.538, 4135.256, 4136.026, 4131.154, 4135.385, 4136.154, 4135.128, 4140.513, 4186.154, 4898.846, 4130.641, 4139.487, 0, 0, []
1649066937.9076, 57, 0, 4130.513, 4135.128, 4132.821, 4136.667, 4136.026, 4130.385, 4129.359, 4136.538, 4135.641, 4136.41, 4186.154, 4901.923, 4136.154, 4140.897, 0, 0, []
1649066937.9156, 58, 0, 4132.308, 4134.744, 4134.359, 4136.538, 4132.179, 4128.846, 4126.667, 4136.154, 4136.667, 4139.231, 4186.154, 4902.949, 4136.41, 4136.667, 0, 0, []
1649066937.9235, 59, 0, 4131.923, 4133.205, 4137.051, 4135.769, 4133.462, 4130.513, 4127.821, 4136.154, 4137.308, 4141.538, 4186.154, 4902.564, 4136.41, 4137.179, 0, 0, []
1649066937.9315, 60, 0, 4131.667, 4126.282, 4135.769, 4135.897, 4137.692, 4130.513, 4128.718, 4136.026, 4137.949, 4139.359, 4186.154, 4903.333, 4135.897, 4137.692, 0, 0, []
1649066937.9394, 61, 0, 4133.846, 4127.692, 4131.795, 4135.897, 4136.923, 4130.128, 4131.282, 4136.41, 4136.923, 4138.462, 4186.154, 4901.154, 4133.462, 4138.974, 0, 0, []
1649066937.9471, 62, 0, 4131.795, 4131.282, 4129.103, 4134.231, 4134.744, 4131.282, 4129.615, 4137.436, 4136.026, 4136.667, 4186.154, 4901.154, 4133.462, 4141.41, 0, 0, []
1649066937.955, 63, 0, 4129.103, 4128.333, 4132.949, 4135.641, 4135.256, 4130.385, 4127.564, 4137.308, 4137.436, 4135.897, 4186.154, 4904.615, 4134.744, 4140.128, 0, 0, []
1649066937.9628, 64, 0, 4133.462, 4129.487, 4134.872, 4137.692, 4135.897, 4130.256, 4128.718, 4136.538, 4138.333, 4138.846, 4186.026, 4903.974, 4139.487, 4142.051, 0, 0, []
1649066937.9707, 65, 0, 4133.205, 4129.487, 4133.974, 4133.974, 4135.897, 4131.41, 4129.487, 4136.154, 4136.667, 4137.564, 4186.282, 4904.359, 4137.051, 4141.667, 0, 0, []
1649066937.9785, 66, 0, 4129.487, 4131.154, 4131.154, 4133.462, 4134.615, 4133.59, 4130, 4136.41, 4136.41, 4135.641, 4186.282, 4903.974, 4131.795, 4137.949, 0, 0, []
1649066937.9863, 67, 0, 4131.41, 4136.026, 4131.282, 4135.256, 4132.564, 4132.179, 4128.974, 4136.026, 4135.641, 4137.949, 4185.897, 4900, 4133.718, 4137.821, 0, 0, []
1649066937.9941, 68, 0, 4132.692, 4133.59, 4133.462, 4133.462, 4133.333, 4129.872, 4129.231, 4134.744, 4133.846, 4139.359, 4186.667, 4901.667, 4135.385, 4138.205, 0, 0, []
1649066938.002, 69, 0, 4133.077, 4131.026, 4132.051, 4133.846, 4133.333, 4132.564, 4129.359, 4134.744, 4135, 4137.692, 4187.308, 4904.872, 4136.41, 4140.128, 0, 0, []
1649066938.0098, 70, 0, 4132.949, 4130.385, 4134.487, 4135.385, 4132.821, 4131.795, 4129.359, 4135.513, 4135.513, 4136.026, 4186.154, 4902.949, 4134.872, 4137.436, 0, 0, []
1649066938.0177, 71, 0, 4132.564, 4131.667, 4134.615, 4133.846, 4133.462, 4128.333, 4130.897, 4136.154, 4134.487, 4137.564, 4185, 4900.128, 4136.282, 4136.026, 0, 0, []
1649066938.0254, 72, 0, 4132.436, 4135.385, 4130, 4134.615, 4133.333, 4129.487, 4129.615, 4136.154, 4135.897, 4138.333, 4186.154, 4900, 4140.256, 4140.256, 0, 0, []
1649066938.0333, 73, 0, 4131.282, 4132.179, 4132.436, 4137.564, 4132.564, 4133.59, 4128.59, 4136.154, 4137.308, 4137.692, 4186.41, 4900.769, 4134.487, 4138.974, 0, 0, []
1649066938.0411, 74, 0, 4132.308, 4131.923, 4133.333, 4137.179, 4134.872, 4135.769, 4127.051, 4136.154, 4136.026, 4137.821, 4185.641, 4901.667, 4132.692, 4138.205, 0, 0, []
1649066938.0491, 75, 0, 4131.923, 4133.974, 4131.923, 4136.282, 4136.667, 4131.282, 4127.051, 4136.282, 4136.026, 4137.949, 4186.667, 4903.205, 4136.282, 4137.692, 0, 0, []
1649066938.057, 76, 0, 4131.154, 4132.564, 4133.462, 4136.538, 4135.385, 4130.385, 4130.513, 4136.154, 4137.564, 4137.821, 4188.077, 4901.923, 4136.667, 4135.769, 0, 0, []
1649066938.0649, 77, 0, 4133.718, 4132.821, 4133.077, 4135, 4134.231, 4135.385, 4130.769, 4136.026, 4137.564, 4138.077, 4187.308, 4902.692, 4137.949, 4137.436, 0, 0, []
1649066938.0728, 78, 0, 4134.231, 4131.538, 4133.59, 4134.103, 4133.718, 4134.359, 4130, 4136.41, 4136.667, 4137.692, 4186.026, 4906.282, 4135.897, 4136.923, 0, 0, []
1649066938.0808, 79, 0, 4132.179, 4130, 4132.821, 4133.846, 4136.026, 4130.513, 4129.872, 4135.897, 4137.051, 4137.821, 4186.154, 4903.333, 4135.641, 4137.308, 0, 0, []
1649066938.0887, 80, 0, 4131.282, 4129.487, 4129.872, 4134.359, 4135.513, 4130.641, 4131.41, 4134.744, 4137.564, 4138.846, 4186.41, 4901.282, 4135.897, 4139.487, 0, 0, []
1649066938.0967, 81, 0, 4133.077, 4133.333, 4132.692, 4136.667, 4130.769, 4133.462, 4130.256, 4134.872, 4135.385, 4138.333, 4186.154, 4905.385, 4133.718, 4140.641, 0, 0, []
1649066938.1045, 82, 0, 4133.462, 4134.615, 4133.846, 4135.513, 4131.154, 4132.692, 4130.256, 4135.385, 4134.872, 4137.821, 4186.154, 4902.051, 4135, 4140.769, 0, 0, []
1649066938.1123, 83, 0, 4130.641, 4129.744, 4134.872, 4133.205, 4136.026, 4128.333, 4137.179, 4135.769, 4137.949, 4139.231, 4186.154, 4896.795, 4133.077, 4136.923, 0, 0, []
1649066938.1202, 84, 0, 4132.179, 4132.692, 4136.282, 4135.128, 4136.41, 4130.641, 4136.667, 4135.897, 4138.077, 4138.59, 4186.026, 4900.769, 4136.154, 4137.564, 0, 0, []
1649066938.128, 85, 0, 4133.077, 4133.718, 4135.128, 4135.641, 4135.641, 4131.923, 4129.615, 4135.256, 4135.641, 4136.923, 4186.538, 4904.487, 4140, 4140.128, 0, 0, []
1649066938.136, 86, 0, 4131.41, 4129.744, 4135.513, 4135.128, 4136.923, 4129.872, 4129.103, 4134.487, 4135.385, 4137.179, 4186.282, 4901.41, 4134.103, 4138.077, 0, 0, []
1649066938.1438, 87, 0, 4133.59, 4131.538, 4132.821, 4134.744, 4135.256, 4130, 4130.769, 4134.103, 4136.795, 4136.923, 4185.513, 4900.897, 4133.718, 4139.744, 0, 0, []
1649066938.1518, 88, 0, 4132.436, 4131.667, 4134.103, 4133.59, 4135.128, 4129.103, 4129.615, 4134.615, 4135.897, 4137.051, 4187.051, 4904.615, 4135.641, 4139.359, 0, 0, []
1649066938.1597, 89, 0, 4131.41, 4130.513, 4136.923, 4133.205, 4136.667, 4129.487, 4129.872, 4136.026, 4136.282, 4138.846, 4188.718, 4904.231, 4133.462, 4138.205, 0, 0, []
1649066938.1677, 90, 0, 4133.718, 4130.769, 4135.513, 4135.641, 4136.154, 4131.795, 4133.205, 4136.282, 4137.564, 4138.846, 4186.923, 4903.333, 4131.538, 4139.103, 0, 0, []
1649066938.1756, 91, 0, 4133.59, 4133.59, 4134.231, 4137.051, 4136.026, 4132.692, 4132.308, 4135.385, 4137.308, 4136.923, 4184.744, 4906.795, 4134.359, 4138.59, 0, 0, []
1649066938.1835, 92, 0, 4133.077, 4136.282, 4134.231, 4135.385, 4136.282, 4131.923, 4130.385, 4135.385, 4136.923, 4136.667, 4184.744, 4906.282, 4135.897, 4140.769, 0, 0, []
1649066938.1914, 93, 0, 4131.923, 4129.615, 4136.026, 4134.744, 4136.282, 4130.513, 4135.897, 4135.513, 4135.897, 4138.205, 4185.256, 4901.282, 4130.256, 4139.359, 0, 0, []
1649066938.1994, 94, 0, 4132.308, 4126.538, 4131.795, 4133.846, 4136.667, 4131.538, 4136.154, 4135, 4135.897, 4138.718, 4184.744, 4898.974, 4133.077, 4138.59, 0, 0, []
1649066938.2073, 95, 0, 4131.538, 4130.385, 4131.154, 4135.641, 4135.769, 4131.538, 4130.385, 4135.128, 4136.667, 4137.692, 4185, 4900.897, 4138.333, 4139.359, 0, 0, []
1649066938.2153, 96, 0, 4128.846, 4128.846, 4135, 4138.59, 4135.897, 4130.513, 4134.487, 4135.256, 4135.513, 4136.923, 4187.436, 4903.718, 4134.103, 4138.077, 0, 0, []
1649066938.2231, 97, 0, 4130, 4130.897, 4131.538, 4135.513, 4137.821, 4130.769, 4135.897, 4135.128, 4136.154, 4137.436, 4188.462, 4903.333, 4133.846, 4141.41, 0, 0, []
1649066938.2311, 98, 0, 4131.154, 4135.513, 4132.308, 4133.333, 4133.462, 4131.282, 4128.205, 4135.128, 4139.231, 4137.051, 4186.923, 4903.846, 4134.872, 4140.128, 0, 0, []
1649066938.239, 99, 0, 4131.154, 4134.744, 4132.949, 4136.282, 4129.231, 4133.333, 4127.564, 4135.128, 4138.077, 4136.667, 4186.667, 4903.718, 4132.564, 4137.051, 0, 0, []
1649066938.2469, 100, 0, 4130.641, 4129.103, 4129.872, 4135.641, 4133.077, 4133.462, 4131.923, 4135.128, 4134.872, 4137.179, 4187.308, 4900.128, 4135.128, 4139.615, 0, 0, []
1649066938.2548, 101, 0, 4129.744, 4126.795, 4134.744, 4132.821, 4137.179, 4132.179, 4133.077, 4135.128, 4135.769, 4136.538, 4186.667, 4900.513, 4135.128, 4140, 0, 0, []
1649066938.2625, 102, 0, 4133.205, 4132.308, 4135.256, 4135.128, 4135.385, 4133.205, 4132.564, 4135, 4136.923, 4136.923, 4185.769, 4902.436, 4134.872, 4140.513, 0, 0, []
1649066938.2704, 103, 0, 4133.974, 4131.667, 4132.179, 4137.308, 4131.154, 4128.974, 4128.718, 4135.385, 4135.385, 4138.205, 4185.769, 4901.667, 4135.128, 4138.333, 0, 0, []
1649066938.2782, 104, 0, 4131.923, 4128.974, 4135.897, 4135.641, 4133.974, 4129.231, 4126.538, 4135, 4135.897, 4138.333, 4186.41, 4901.41, 4134.487, 4136.923, 0, 0, []
1649066938.2861, 105, 0, 4133.077, 4131.923, 4138.205, 4135.897, 4133.59, 4133.205, 4128.462, 4134.872, 4137.821, 4137.308, 4186.795, 4902.308, 4135.641, 4139.615, 0, 0, []
1649066938.2939, 106, 0, 4132.436, 4131.795, 4135.641, 4137.564, 4124.487, 4130.385, 4130.897, 4136.282, 4136.41, 4136.282, 4185.385, 4901.795, 4133.974, 4138.462, 0, 0, []
1649066938.3017, 107, 0, 4132.436, 4131.026, 4130.513, 4135.128, 4126.795, 4130.513, 4130.256, 4136.923, 4136.026, 4138.718, 4184.487, 4900.769, 4135.513, 4137.949, 0, 0, []
1649066938.3095, 108, 0, 4133.077, 4128.333, 4131.41, 4132.179, 4137.564, 4131.795, 4128.333, 4135.897, 4138.974, 4141.41, 4185.256, 4902.436, 4135.256, 4137.564, 0, 0, []
1649066938.3174, 109, 0, 4133.077, 4127.949, 4135.256, 4135.513, 4134.487, 4130.641, 4128.718, 4135, 4138.718, 4139.231, 4185, 4901.667, 4133.333, 4138.846, 0, 0, []
1649066938.3252, 110, 0, 4134.615, 4132.179, 4133.974, 4136.41, 4128.846, 4131.41, 4130.641, 4134.872, 4137.564, 4138.205, 4184.872, 4902.949, 4137.821, 4142.436, 0, 0, []
1649066938.3331, 111, 0, 4133.718, 4132.051, 4133.077, 4133.077, 4135.385, 4131.41, 4135.897, 4135.641, 4139.359, 4140, 4185, 4906.41, 4136.41, 4139.872, 0, 0, []
1649066938.3408, 112, 0, 4133.333, 4131.154, 4131.154, 4134.615, 4137.308, 4130.769, 4135.256, 4137.308, 4139.231, 4138.333, 4185, 4905.128, 4136.026, 4140.128, 0, 0, []
1649066938.3487, 113, 0, 4132.308, 4128.718, 4131.795, 4135.641, 4133.333, 4129.615, 4131.667, 4137.692, 4136.026, 4136.026, 4185, 4905.128, 4136.923, 4141.282, 0, 0, []
1649066938.3565, 114, 0, 4131.923, 4128.718, 4135.513, 4133.718, 4134.872, 4131.154, 4133.205, 4136.026, 4135.513, 4136.923, 4185, 4906.154, 4134.744, 4137.436, 0, 0, []
